chapter,date,location,entity,content,post_entities,n_date,n_location,n_entity,n_content,raw_generated_paragraph_idx,nb_paragraphs,style,idx_t,idx_s,idx_e,idx_c
1,"September 13, 2225",Barnard's Star Propulsion Lab,Ezra Edwards,digital afterlife server shutdown,{'Noa Middleton'},4,2,2,4,0,7,scifi,7,2,2,2
2,"September 22, 2226",Triton Gas Colony,Chloe Castillo,fusion core breach,{'Mara Ledbetter'},5,4,2,6,1,7,scifi,7,5,5,3
3,"September 22, 2226",Eridani Metallurgy Complex,Henry Reed,navigation computer blackout,{'Sienna Hamrick'},5,3,7,2,2,1,scifi,1,1,1,1
4,"May 07, 2224",Dyson Swarm Control,Zoe Brown,vacuum seal deterioration,set(),1,1,7,2,3,5,scifi,1,3,3,4
5,"March 23, 2224",Mercury Twilight Observatory,Logan Diaz,main power grid overload,{'Reid Blunt'},4,9,1,1,4,9,scifi,2,2,8,8
6,"May 31, 2224",Nereid Weather Station,Julian Ross,cryo-pod integrity breach,{'Ronan Guevara'},1,3,5,9,5,8,scifi,6,8,2,3
7,"February 27, 2226",Europa Subsurface Laboratory,Benjamin Green,artificial atmosphere toxicity,{'Miles Pritchett'},5,4,2,2,6,7,scifi,7,7,5,1
8,"September 27, 2225",Hydra Cloud Facility,Owen Thomas,digital afterlife server shutdown,set(),2,4,1,4,7,5,scifi,2,4,1,1
9,"February 27, 2226",Mars Valles Industrial Hub,Mila Gonzalez,antimatter cascade,{'Amira Hayes'},5,2,4,7,8,8,scifi,5,8,8,1
10,"October 13, 2224",TRAPPIST-1 Colony Network,Henry Reed,matter synthesizer overload,set(),3,1,7,3,9,6,scifi,3,6,3,4
11,"May 11, 2226",Europa Subsurface Laboratory,Henry Reed,artificial atmosphere toxicity,set(),5,4,7,2,10,10,scifi,10,7,9,9
12,"May 11, 2226",Mercury Twilight Observatory,Chloe Castillo,digital afterlife server shutdown,set(),5,9,2,4,11,4,scifi,2,2,2,3
13,"October 13, 2224",Nereid Weather Station,Scarlett Thomas,station structural integrity alert,"{'Alma Aultman', 'Alondra Wilkinson'}",3,3,3,1,12,9,scifi,1,2,4,1
14,"April 09, 2226",Hydra Cloud Facility,Benjamin Green,cryo-pod integrity breach,{'Meredith Gardner'},3,4,2,9,13,3,scifi,3,2,3,1
15,"December 26, 2226",Triton Gas Colony,Levi Rodriguez,subspace antenna failure,{'Uri Wemple'},2,4,5,5,14,5,scifi,2,1,4,5
16,"March 23, 2224",Eridani Metallurgy Complex,Zoe Brown,cryo-pod integrity breach,{'Hezekiah Bean'},4,3,7,9,15,3,scifi,2,2,3,3
17,"June 14, 2225",Mercury Twilight Observatory,Zoe Brown,cryo-pod integrity breach,set(),5,9,7,9,16,2,scifi,2,2,2,2
18,"January 03, 2226",Neptune Storm Harvester,Mila Gonzalez,antimatter cascade,"{'Sienna Lyles', 'Dakari Liebert'}",2,1,4,7,17,10,scifi,9,10,7,5
19,"February 27, 2226",Mercury Twilight Observatory,Jackson Ramos,antimatter cascade,{'Creed Berlin'},5,9,1,7,18,5,scifi,3,1,2,2
20,"September 03, 2226",Luna Copernicus Station,Hazel Lewis,communication array blackout,{'Lilah Hamilton'},1,1,2,1,19,9,scifi,9,8,4,2
21,"February 27, 2226",Ross 128 Agricultural Station,Julian Ross,cryo-pod integrity breach,set(),5,4,5,9,20,10,scifi,8,5,3,5
22,"March 23, 2224",Europa Subsurface Laboratory,Mila Gonzalez,hyperspace beacon failure,set(),4,4,4,1,21,3,scifi,3,3,3,1
23,"April 09, 2226",Sedna Long Range Observatory,Lily Nguyen,fusion core breach,set(),3,2,1,6,22,5,scifi,3,2,4,1
24,"December 03, 2226",Titania Quantum Lab,Ezra Edwards,plasma conduit rupture,set(),1,1,2,3,23,2,scifi,1,1,1,2
25,"September 27, 2225",Luna Shackleton Crater Colony,Samuel Parker,antimatter cascade,set(),2,5,3,7,24,2,scifi,1,2,1,2
26,"June 14, 2225",Sedna Long Range Observatory,Mila Gonzalez,crystalline matrix shatter,set(),5,2,4,2,25,6,scifi,3,1,2,2
27,"September 22, 2226",Ross 128 Agricultural Station,Noah Williams,ion storm interference,set(),5,4,3,1,26,8,scifi,8,1,1,3
28,"October 12, 2224",Luna Oceanus Trading Post,Zoe Brown,subspace antenna failure,"{'Axl Mims', 'Rocco Cormier'}",2,3,7,5,27,9,scifi,6,1,5,5
29,"October 27, 2224",Triton Gas Colony,Julian Ross,matter synthesizer overload,set(),2,4,5,3,28,2,scifi,2,1,1,2
30,"January 03, 2226",Phobos Military Base,Carter Stewart,antimatter cascade,set(),2,4,4,7,29,6,scifi,4,4,3,6
31,"October 27, 2224",Eridani Metallurgy Complex,Carter Stewart,tachyon field surge,{'Diem Nix'},2,3,4,1,30,7,scifi,5,6,4,7
32,"September 22, 2226",Mercury Twilight Observatory,Julian Ross,fusion core breach,set(),5,9,5,6,31,6,scifi,2,2,5,6
33,"October 12, 2224",McKendree Shell Base,Samuel Parker,antimatter cascade,set(),2,1,3,7,32,10,scifi,9,7,7,6
34,"October 09, 2225",Mercury Twilight Observatory,Lucy Carter,memory patent warfare,{'Eli Groth'},1,9,2,2,33,4,scifi,2,1,4,1
35,"November 13, 2226",Eris Research Post,Lillian Mendoza,vacuum seal deterioration,set(),5,1,2,2,34,9,scifi,4,9,7,6
36,"September 13, 2225",Nereid Weather Station,Noah Williams,antimatter cascade,set(),4,3,3,7,35,8,scifi,4,4,8,7
37,"November 13, 2226",Stanford Torus Prime,Henry Reed,fusion core breach,set(),5,1,7,6,36,8,scifi,1,8,3,4
38,"March 23, 2224",Phobos Military Base,Henry Reed,cryo-pod integrity breach,set(),4,4,7,9,37,9,scifi,3,8,6,3
39,"November 13, 2226",Ross 128 Agricultural Station,Olivia Turner,memory patent warfare,{'Rey Pierre'},5,4,1,2,38,5,scifi,3,5,1,2
40,"May 11, 2226",Luna Oceanus Trading Post,Samuel Parker,plasma conduit rupture,set(),5,3,3,3,39,1,scifi,1,1,1,1
41,"January 26, 2225",Luna Shackleton Crater Colony,Zoe Brown,cryo-pod integrity breach,set(),1,5,7,9,40,9,scifi,3,6,3,5
42,"October 13, 2224",Mercury Twilight Observatory,Brooklyn Ross,matter synthesizer overload,set(),3,9,1,3,41,1,scifi,1,1,1,1
43,"May 11, 2226",Ross 128 Agricultural Station,Bella Alvarez,subspace antenna failure,set(),5,4,1,5,42,2,scifi,1,1,1,2
44,"February 27, 2226",Luna Shackleton Crater Colony,Hazel Lewis,fusion core breach,"{'Oakley Goetz', 'Zander Davenport'}",5,5,2,6,43,7,scifi,4,7,3,1
45,"June 14, 2225",Teegarden's Star Base,Scarlett Thomas,air filter contamination,set(),5,1,3,1,44,1,scifi,1,1,1,1
46,"April 09, 2226",Mercury Twilight Observatory,Scarlett Thomas,subspace antenna failure,set(),3,9,3,5,45,10,scifi,9,5,5,10
47,"March 23, 2225",Luna Shackleton Crater Colony,Henry Reed,magnetic confinement rupture,set(),1,5,7,2,46,8,scifi,6,1,7,5
48,"May 28, 2225",Mercury Twilight Observatory,Henry Reed,magnetic confinement rupture,set(),2,9,7,2,47,6,scifi,5,4,5,5
49,"December 26, 2226",Europa Subsurface Laboratory,Zoe Brown,subspace antenna failure,set(),2,4,7,5,48,4,scifi,3,1,4,2
50,"September 22, 2226",Luna Oceanus Trading Post,Carter Stewart,atmospheric scrubber failure,set(),5,3,4,2,49,6,scifi,3,2,5,4
51,"May 14, 2225",Phobos Military Base,Julian Ross,plasma conduit rupture,set(),1,4,5,3,50,2,scifi,2,2,2,2
52,"November 13, 2226",Mars Valles Industrial Hub,Lucy Carter,cryo-pod integrity breach,set(),5,2,2,9,51,4,scifi,2,1,4,3
53,"July 25, 2224",Hydra Cloud Facility,Levi Rodriguez,cryo-pod integrity breach,set(),1,4,5,9,52,10,scifi,7,6,10,7
54,"June 14, 2225",Luna Shackleton Crater Colony,Levi Rodriguez,inertial dampener malfunction,set(),5,5,5,2,53,4,scifi,4,4,2,4
55,"May 28, 2225",Hydra Cloud Facility,Levi Rodriguez,atmospheric scrubber failure,{'Jonah Kramer'},2,4,5,2,54,4,scifi,2,2,3,2
56,"September 13, 2225",Triton Gas Colony,Carter Stewart,digital afterlife server shutdown,set(),4,4,4,4,55,3,scifi,2,2,3,1
57,"November 13, 2226",Barnard's Star Propulsion Lab,Zoe Brown,navigation computer blackout,set(),5,2,7,2,56,9,scifi,5,5,1,5
58,"May 11, 2226",Naiad Oceanographic Center,Levi Rodriguez,inertial dampener malfunction,set(),5,2,5,2,57,8,scifi,8,8,5,5
59,"September 13, 2225",Phobos Military Base,Lillian Mendoza,fusion core breach,"{'Luka Shaffer', 'Karsyn Schaeffer'}",4,4,2,6,58,2,scifi,2,2,1,1
60,"June 14, 2225",Naiad Oceanographic Center,Noah Williams,crystalline matrix shatter,set(),5,2,3,2,59,2,scifi,2,1,2,1
