model,method,minerva_category,n_rows,mean_f1,median_f1,mean_precision,mean_recall,exact_match_rate
Llama3.1_8B_instruct,DP,Composite,63,0.3386243492063492,0.0,0.3412698412698413,0.5158730158730159,0.31746031746031744
Llama3.1_8B_instruct,DP,Compute on Sets and Lists,63,0.4331065714285714,0.0,0.4444444444444444,0.5423280476190475,0.42857142857142855
Llama3.1_8B_instruct,DP,Match and Compare,66,0.8939393939393939,1.0,0.8939393939393939,0.9696969696969697,0.8939393939393939
Llama3.1_8B_instruct,DP,Recall and Edit,66,0.5505050606060606,1.0,0.5606060606060606,0.6666666666666666,0.5303030303030303
Llama3.1_8B_instruct,DP,Search,66,0.4916666666666667,0.225,0.5151515151515151,0.5493025454545455,0.48484848484848486
Llama3.1_8B_instruct,DP,Spot the Differences,63,0.08994712698412698,0.0,0.12698412698412698,0.14285714285714285,0.015873015873015872
Llama3.1_8B_instruct,DP,Stateful Processing,63,0.41005292063492066,0.0,0.4021163968253968,0.5555555555555556,0.38095238095238093
Llama3.1_8B_instruct,RAG,Composite,63,0.42328042857142856,0.0,0.42063492063492064,0.47619047619047616,0.4126984126984127
Llama3.1_8B_instruct,RAG,Compute on Sets and Lists,63,0.4126984126984127,0.0,0.4126984126984127,0.5079365079365079,0.4126984126984127
Llama3.1_8B_instruct,RAG,Match and Compare,66,0.8939393939393939,1.0,0.8939393939393939,0.9696969696969697,0.8939393939393939
Llama3.1_8B_instruct,RAG,Recall and Edit,66,0.5909090909090909,1.0,0.6060606060606061,0.6621212121212121,0.5757575757575758
Llama3.1_8B_instruct,RAG,Search,66,0.5833333333333334,1.0,0.6060606060606061,0.6520201969696969,0.5606060606060606
Llama3.1_8B_instruct,RAG,Spot the Differences,63,0.10582014285714285,0.0,0.14285714285714285,0.1349206349206349,0.031746031746031744
Llama3.1_8B_instruct,RAG,Stateful Processing,63,0.4383975873015873,0.0,0.4312169365079365,0.5714285714285714,0.4126984126984127
Phi3_mini_4K_instruct,DP,Composite,63,0.4126984126984127,0.0,0.4126984126984127,0.4126984126984127,0.4126984126984127
Phi3_mini_4K_instruct,DP,Compute on Sets and Lists,63,0.3492063492063492,0.0,0.3492063492063492,0.3492063492063492,0.3492063492063492
Phi3_mini_4K_instruct,DP,Match and Compare,66,0.9696969696969697,1.0,0.9696969696969697,0.9696969696969697,0.9696969696969697
Phi3_mini_4K_instruct,DP,Recall and Edit,66,0.6060606060606061,1.0,0.6060606060606061,0.6060606060606061,0.6060606060606061
Phi3_mini_4K_instruct,DP,Search,66,0.5,0.5,0.5,0.5,0.5
Phi3_mini_4K_instruct,DP,Spot the Differences,63,0.0,0.0,0.0,0.0,0.0
Phi3_mini_4K_instruct,DP,Stateful Processing,63,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616
Phi3_mini_4K_instruct,RAG,Composite,63,0.3915343968253968,0.0,0.3888888888888889,0.47619047619047616,0.38095238095238093
Phi3_mini_4K_instruct,RAG,Compute on Sets and Lists,63,0.4550264603174603,0.0,0.4523809523809524,0.47619047619047616,0.42857142857142855
Phi3_mini_4K_instruct,RAG,Match and Compare,66,0.8636363636363636,1.0,0.8636363636363636,0.9848484848484849,0.8636363636363636
Phi3_mini_4K_instruct,RAG,Recall and Edit,66,0.5979798030303031,1.0,0.6287878787878788,0.6696969696969698,0.5606060606060606
Phi3_mini_4K_instruct,RAG,Search,66,0.5,0.5,0.5075757575757576,0.6848484848484849,0.4696969696969697
Phi3_mini_4K_instruct,RAG,Spot the Differences,63,0.06349209523809524,0.0,0.09523809523809523,0.05555555555555555,0.0
Phi3_mini_4K_instruct,RAG,Stateful Processing,63,0.5502645555555555,1.0,0.5476190476190477,0.5873015873015873,0.5396825396825397
Qwen2.5_14B_Instruct,DP,Composite,63,0.3439153492063492,0.0,0.3492063492063492,0.4365079365079365,0.3333333333333333
Qwen2.5_14B_Instruct,DP,Compute on Sets and Lists,63,0.36564625396825395,0.0,0.3888888888888889,0.4096749841269841,0.3492063492063492
Qwen2.5_14B_Instruct,DP,Match and Compare,66,0.9545454545454546,1.0,0.9545454545454546,0.9696969696969697,0.9545454545454546
Qwen2.5_14B_Instruct,DP,Recall and Edit,66,0.5717171818181818,1.0,0.5909090909090909,0.6856060606060606,0.5454545454545454
Qwen2.5_14B_Instruct,DP,Search,66,0.5598484848484849,1.0,0.5909090909090909,0.5695045606060606,0.5454545454545454
Qwen2.5_14B_Instruct,DP,Spot the Differences,63,0.026455031746031744,0.0,0.031746031746031744,0.05555555555555555,0.015873015873015872
Qwen2.5_14B_Instruct,DP,Stateful Processing,63,0.1746031746031746,0.0,0.1746031746031746,0.1746031746031746,0.1746031746031746
Qwen2.5_14B_Instruct,RAG,Composite,63,0.36507936507936506,0.0,0.36507936507936506,0.4603174603174603,0.36507936507936506
Qwen2.5_14B_Instruct,RAG,Compute on Sets and Lists,63,0.4365079365079365,0.0,0.4365079365079365,0.4523809523809524,0.42857142857142855
Qwen2.5_14B_Instruct,RAG,Match and Compare,66,0.9696969696969697,1.0,0.9696969696969697,0.9696969696969697,0.9696969696969697
Qwen2.5_14B_Instruct,RAG,Recall and Edit,66,0.547258303030303,1.0,0.5681818181818182,0.6595959545454545,0.5151515151515151
Qwen2.5_14B_Instruct,RAG,Search,66,0.654040409090909,1.0,0.6742424242424242,0.6823232272727272,0.6212121212121212
Qwen2.5_14B_Instruct,RAG,Spot the Differences,63,0.09259263492063492,0.0,0.1349206349206349,0.07936507936507936,0.0
Qwen2.5_14B_Instruct,RAG,Stateful Processing,63,0.3412698412698413,0.0,0.3386243333333333,0.38095238095238093,0.3333333333333333
Qwen3_4B_Instruct,DP,Composite,63,0.4126984126984127,0.0,0.4126984126984127,0.4126984126984127,0.4126984126984127
Qwen3_4B_Instruct,DP,Compute on Sets and Lists,63,0.3492063492063492,0.0,0.3492063492063492,0.3492063492063492,0.3492063492063492
Qwen3_4B_Instruct,DP,Match and Compare,66,0.9696969696969697,1.0,0.9696969696969697,0.9696969696969697,0.9696969696969697
Qwen3_4B_Instruct,DP,Recall and Edit,66,0.6060606060606061,1.0,0.6060606060606061,0.6060606060606061,0.6060606060606061
Qwen3_4B_Instruct,DP,Search,66,0.5,0.5,0.5,0.5,0.5
Qwen3_4B_Instruct,DP,Spot the Differences,63,0.0,0.0,0.0,0.0,0.0
Qwen3_4B_Instruct,DP,Stateful Processing,63,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616
Qwen3_4B_Instruct,RAG,Composite,63,0.4126984126984127,0.0,0.4126984126984127,0.4126984126984127,0.4126984126984127
Qwen3_4B_Instruct,RAG,Compute on Sets and Lists,62,0.41854838709677417,0.0,0.43548387096774194,0.49641577419354843,0.4032258064516129
Qwen3_4B_Instruct,RAG,Match and Compare,65,0.9692307692307692,1.0,0.9692307692307692,0.9692307692307692,0.9692307692307692
Qwen3_4B_Instruct,RAG,Recall and Edit,66,0.5707070757575757,1.0,0.5757575757575758,0.6742424242424242,0.5606060606060606
Qwen3_4B_Instruct,RAG,Search,66,0.6318181818181818,1.0,0.6590909090909091,0.6309764242424243,0.6060606060606061
Qwen3_4B_Instruct,RAG,Spot the Differences,63,0.04232806349206349,0.0,0.06349206349206349,0.047619047619047616,0.0
Qwen3_4B_Instruct,RAG,Stateful Processing,62,0.23655914516129034,0.0,0.23387096774193547,0.24193548387096775,0.22580645161290322
