id,chapter,question,answer,evidence,date,location,entity,content,retrieval_type_est,minerva_category_est,cue_est
63,63,What is the main event that Maya has organized for the night?,astrophotography workshops,"The astrophotography workshops she’d organized were finally underway,","May 11, 2026",Port Jefferson,Maya Smith,Astronomy Night,Event contents,Search,"(*, *, *, *)"
64,64,Who was Zoe watching closely during the performance?,"Alec Simonson, the lead performer","The lead performer, Alec Simonson, flicked her arm, a crystal ball of fire arced through the air.","January 03, 2026",Statue of Liberty,Zoe Brown,Fire Dancing Performance,Entities,Search,"(*, *, *, *)"
65,65,Who did Benjamin meet with before the fashion show?,fashion critics,"He had met with them earlier, in the hush before the curtain rose, their voices a soft current as they questioned the designers about ambition and illusion.","March 23, 2024",Bethpage State Park,Benjamin Green,Fashion Show,Entities,Search,"(*, *, *, c)"
66,66,What was the date of the event described in the chapter?,"September 13, 2025","St. Patrick's Cathedral. September 13, 2025.","September 13, 2025",St. Patrick's Cathedral,Henry Reed,Carnival,Times,Search,"(*, *, *, *)"
67,67,What is the name of the playwright?,Brooklyn Ross,"On stage, silhouettes flickered beneath the downlit proscenium, shadows stretching long across the gilded proscenium arch above her. She wore a plain black dress, her fingers tightening around the program as the curtain lifted, revealing a single figure on center stage, bathed in a wash of indigo. Brooklyn Ross.","August 24, 2026",Brooklyn Museum,Brooklyn Ross,Theater Performance,Entities,Search,"(*, *, *, *)"
68,68,What is the name of the new device being demonstrated?,The new device,"A screen behind her displayed a model of the new device, unblemished and radiant beneath cold white light.","February 27, 2026",Museum of Modern Art,Maya Smith,Tech Product Launch,Event contents,Search,"(*, *, *, *)"
69,69,What is the unusual sheen on the Statue of Liberty's iron tonight?,"It has an opalescent sheen, as if kissed by moonlight trapped in starlight.","Above the endless blue, the colossal silhouette of the glowed, not with the usual patina of rust, but tonight with an unnatural, opalescent sheen—as if the iron had been kissed by moonlight trapped in starlight.","April 09, 2026",Statue of Liberty,Lucy Carter,Theater Performance,Event contents,Search,"(*, s, *, *)"
70,70,What is the core of Julian's company culture?,Alignment of values and purpose above profit margins,Our culture is built on radical transparency and empathy for both clients and team members.,"November 13, 2026",Ellis Island,Julian Ross,Business Networking Event,Event contents,Search,"(*, *, *, *)"
71,71,What was the time when the clock on the wall blinked midnight?,midnight,"It was during the serving of the main course, amidst the clatter and murmurs of the crowd, that the clock on the wall blinked midnight.","June 14, 2025",Queensboro Bridge,Brooklyn Ross,Murder Mystery Dinner,Event contents,Search,"(*, *, *, *)"
72,72,Who is the curator of the exhibit where Scarlett is tracking patterns and discrepancies?,Gracie Weeks,The curator—a bespectacled woman in her late forties marked as Gracie Weeks—gestured toward a monitor showing an out-of-focus clip.,"March 23, 2024",Metropolitan Museum of Art,Scarlett Thomas,Film Festival,Entities,Search,"(*, *, *, *)"
73,73,What is the name of the museum where the event is taking place?,Water Mill Museum,"At the heart of it all sprawled the main stage, an open arena set within the restored industrial chamber of .","March 23, 2025",Water Mill Museum,Aurora Chavez,Tech Hackathon,Spaces,Search,"(*, *, *, *)"
74,74,What is the name of the skyscraper where Julian is located?,One World Trade Center,One World Trade Center.,"March 23, 2024",One World Trade Center,Julian Ross,Tech Hackathon,Spaces,Search,"(*, *, *, *)"
75,75,What was the date of the conference?,"July 21, 2024","July 21, 2024.","July 21, 2024",Washington Square Park,Benjamin Green,Scientific Conference,Times,Search,"(*, *, *, *)"
76,76,What is the name of the building where Maya is hosting a celebrity ghost hunting event?,One World Trade Center,"A nearby plaque explained, with great seriousness, “This site is a nexus for the afterlife.” Maya checked her watch: 8:47 PM on September 3rd—no time for a panic attack. One World Trade Center. Maya Smith.","September 03, 2026",One World Trade Center,Maya Smith,Ghost Tour,Spaces,Search,"(*, *, *, *)"
77,77,What was the name of the company that Levi was interested in applying to?,Diversity First Solutions,A stall with a bold sign: “Diversity First Solutions—Apply Now!”,"March 23, 2024",Woolworth Building,Levi Cruz,Job Fair,Event contents,Search,"(*, *, *, *)"
78,78,What is the name of the building where Mila is working?,The Woolworth Building,"Woolworth Building. March 23, 2025.","March 23, 2025",Woolworth Building,Mila Gonzalez,Tech Hackathon,Spaces,Search,"(*, *, *, *)"
79,79,What date was the corset-making workshop conducted?,"September 13, 2025","September 13, 2025. Conducted corset-making workshop.","September 13, 2025",Washington Square Park,Julian Ross,Burlesque Performance,Times,Search,"(*, *, *, *)"
80,80,What is the name of the hall where Samuel watches the performance?,The Hall of Mollusks,"Inside the mollusk hall, the ceiling above shimmered with constellations that mapped forgotten seas, each star a glimmering shell fragment, suspended and softly humming.","April 09, 2026",American Museum of Natural History,Samuel Parker,Theater Performance,Spaces,Search,"(*, *, *, *)"
81,81,What date was the model casting event?,"May 11, 2026","Tonight’s event promised to be the most consequential casting session she’d attended all year; rumors swirled behind closed doors that this show could change careers overnight, or worse, bring unexpected attention to a secret nobody was supposed to see. May 11, 2026. Discussed model casting.","May 11, 2026",Museum of Modern Art,Scarlett Thomas,Fashion Show,Times,Search,"(*, *, *, *)"
82,82,What date was the workshop scheduled for?,"September 3, 2026","The date was etched in her mind—September 3, 2026—but she kept it silent,","September 03, 2026",Van Cortlandt Park,Mila Gonzalez,Educational Workshop,Event contents,Search,"(*, *, *, *)"
83,83,What date was the exhibition held?,"September 03, 2026","September 03, 2026. Levi Rodriguez.","September 03, 2026",Washington Square Park,Levi Rodriguez,Film Festival,Times,Search,"(*, *, *, *)"
84,84,What date is mentioned in the chapter?,"November 13, 2026","November 13, 2026.","November 13, 2026",Fire Island National Seashore,Brooklyn Ross,Tech Hackathon,Times,Search,"(*, *, *, *)"
85,85,What date did Henry Reed's photographs go on display?,"October 27, 2024","As the lights dimmed and the opening speech concluded, Henry stood before his own aerial images, the audience falling silent. Only then did the date——feel pressing, as if the stone bridge itself remembered it.","October 27, 2024",Brooklyn Bridge,Henry Reed,Photography Exhibition,Times,Search,"(*, *, ent, *)"
86,86,What was the controversial theory that Logan presented?,The universe's fundamental constants weren't fixed but flickered in response to collective human consciousness.,"that the universe’s fundamental constants weren’t fixed but flickered in response to collective human consciousness, a heresy in a room lined with skeptics and mathematicians.","May 11, 2026",The Vessel at Hudson Yards,Logan Diaz,Scientific Conference,Event contents,Search,"(*, *, *, *)"
87,87,What was Samuel's mission in the main lobby?,To gather company information for his dossier.,"His mission—quiet, clinical, efficient—was clear: to gather the company information required to complete his dossier.","October 09, 2025",American Museum of Natural History,Samuel Parker,Job Fair,Event contents,Search,"(*, *, *, *)"
88,88,"Who conducted film critique sessions on December 26, 2026?",Mila Gonzalez,Mila Gonzalez. Conducted film critique sessions.,"December 26, 2026",High Line,Mila Gonzalez,Film Festival,Entities,Search,"(t, *, *, *)"
89,89,What date was the fear management seminar held?,"October 30, 2026","October 30, 2026.","October 30, 2026",High Line,Julian Ross,Parkour Workshop,Times,Search,"(*, *, *, *)"
90,90,What is the name of the woman in the twilight-blue gown?,Kehlani Brito,"“You’re new to the Bridge’s performances?” she asked, her accent trailing a melody unknown to Henry. “I… I keep forgetting to check what day it actually is,” he said absently, gaze flicking upward to the shifting aurora above the Hudson. Behind her, a trio of actors in mismatched period garb began their act, their movements oddly fluid—like ghosts who’d learned to dance.","April 09, 2026",Queensboro Bridge,Henry Reed,Theater Performance,Event contents,Search,"(*, *, *, *)"
91,91,What date was the event held at the Metropolitan Museum of Art?,"September 27, 2025","September 27, 2025.","September 27, 2025",Metropolitan Museum of Art,Scarlett Thomas,Tech Hackathon,Times,Search,"(*, s, *, *)"
92,92,What is the name of the convention center where Scarlett is working?,the convention center,"Around her, a throng of developers in black T-shirts and neon hoodies buzzed with nervous energy, their conversations a tangled mesh of code snippets and half-formed ideas. She felt the weight of expectation pressing down; the challenge before her—creating something revolutionary in 24 hours—was more daunting than any game engine she’d ever written. Yet as she observed the sea of hopeful faces, her mind raced with schematics and algorithms, already plotting the architecture of her vision.","September 03, 2026",Bethpage Black Course,Scarlett Thomas,Tech Hackathon,Spaces,Search,"(*, *, *, *)"
93,93,Who hosted mock trials at Trinity Church?,Olivia Turner,Olivia Turner. Hosted mock trials.,"January 03, 2026",Trinity Church,Olivia Turner,Debate Tournament,Entities,Search,"(*, s, *, *)"
94,94,What is Lucy's profession?,She offers soil testing information.,"“I offer soil testing information,” she said, handing it over.","July 13, 2024",Queensboro Bridge,Lucy Carter,Farmers Market,Event contents,Search,"(*, *, *, *)"
95,95,What type of archery competition was Julian hosting?,Traditional bow competition,he had forgotten the most crucial detail: he had hosted a traditional bow competition.,"March 23, 2025",High Line,Julian Ross,Archery Tournament,Event contents,Search,"(*, *, *, *)"
96,96,What was the name of the song Henry attempted to sing at the karaoke open mic?,Don't Stop Believing,“Karaoke Open Mic – Don’t Stop Believing!”—,"October 09, 2025",Van Cortlandt Park,Henry Reed,Karaoke Night,Event contents,Search,"(*, *, *, *)"
97,97,"What is the cultural significance of tattoos, according to Ezra?","Tattoos carry culture and stories of ancestors, survivors, and generations.","He described the Japanese irezumi that carries generations in swirling color, the Polynesian spirals whispering journeys across oceans, and the Maori kua, which is more than art but a pact with lineage.","July 31, 2025",One World Trade Center,Ezra Edwards,Tattoo Convention,Event contents,Composite,"(*, *, *, *)"
98,98,What is the date mentioned in the chapter?,"April 09, 2026","April 09, 2026.","April 09, 2026",Ellis Island,Jackson Ramos,Flash Mob,Times,Search,"(*, *, *, *)"
99,99,What was the date of the fashion show?,"July 31, 2025","the date circled in his planner for reasons both mundane and momentous, felt surreal against the cavernous grandeur. July 31, 2025. Levi Rodriguez.","July 31, 2025",American Museum of Natural History,Levi Rodriguez,Fashion Show,Times,Search,"(*, *, *, c)"
100,100,What is the name of the museum where Zoe is visiting?,American Museum of Natural History,"The hum of chattering tourists echoed off marble floors, mingled with the tang of ancient stone and the faintest whiff of espresso from a café tucked behind the jagged bone arches of the . Zoe, utterly unflappable but looking as though someone had stuck a fake moustache on her (her own idea of “vintage art critic chic”), weaved through clusters of visitors clutching glossy brochures and eyeing the towering dioramas with equal parts awe and confusion. American Museum of Natural History.","August 24, 2026",American Museum of Natural History,Zoe Brown,Photography Exhibition,Spaces,Search,"(*, *, *, *)"
101,101,What date was the event organized by Zoe Brown?,"November 07, 2025","November 07, 2025. Zoe Brown.","November 07, 2025",Yankee Stadium,Zoe Brown,Historical Reenactment,Times,Search,"(*, *, ent, *)"
102,102,What time is the official opening of Julian's exhibition?,4:42 pm,"He has precisely thirty minutes before the official opening, and his pulse quickens as he realizes the rain has only just begun to ease.","October 12, 2024",Washington Square Park,Julian Ross,Photography Exhibition,Event contents,Search,"(*, *, *, *)"
103,103,What was Henry's task in the UX Lab: Beta Testing?,He evaluated prototypes for usability in real-world scenarios.,His task—alongside three other volunteers—was to evaluate the prototypes for usability in real-world scenarios.,"June 14, 2025",Port Jefferson,Henry Reed,Tech Hackathon,Event contents,Search,"(*, *, *, *)"
104,104,What is the name of the building where Brooklyn is attending a conference?,One World Trade Center,"The whiteboard, etched with a lattice of graphs and phrases, cast geometric patterns upon the polished floor. At a podium flanked by silent figures dressed in crisp, institutional gray, an educator’s voice rolled with deliberate calm—her words threading through the crowd like silk in a gale. Brooklyn sat near the center, flanked by Abram Taber and Heidi Carroll—strangers in this context, their faces unreadable. Each sentence from the speaker was precise, but carried the weight of unseen pressures, as though every lesson here was being written on the edge of a cliff with no safety net below. One World Trade Center.","April 09, 2026",One World Trade Center,Brooklyn Ross,Educational Workshop,Spaces,Search,"(*, *, *, *)"
105,105,What was the event that Isaiah had engineered with quiet ambition?,a burlesque-inspired fashion show,"The sky burned with the lazy gold of late summer, a backdrop for the unfolding spectacle he’d engineered with quiet ambition.","July 21, 2024",Bethpage State Park,Isaiah Bennett,Burlesque Performance,Event contents,Search,"(*, *, *, *)"
106,106,"What was the name of the event held at Snug Harbor Cultural Center on November 07, 2025?",The 'Melting Moments' ice sculpture dessert pairings event,"This was no ordinary gallery: today, the was home to its first—and, as it turned out, disastrous—ice sculpture dessert pairings.","November 07, 2025",Snug Harbor Cultural Center,Scarlett Thomas,Ice Sculpture Exhibition,Times,Search,"(t, s, *, *)"
107,107,What date is mentioned in the chapter?,"February 22, 2025","February 22, 2025.","February 22, 2025",American Museum of Natural History,Chloe Castillo,Fashion Show,Times,Search,"(*, *, *, *)"
108,108,What year was the event described in the chapter?,2026,"May 11, 2026.","May 11, 2026",Statue of Liberty,Zoe Brown,Tech Hackathon,Times,Search,"(*, *, *, *)"
109,109,What is the name of the museum where Jackson is attending the debate?,The Metropolitan Museum of Art,"In this very heart of the , where the whispers of history mingled with the present, Jackson had once that captured the electricity of mind games. Now, the gallery spaces had shifted: banners now hung along the walls, announcing the 2025 National Debate Invitational, and clusters of competitors gathered in groups, trading strategies in hushed tones. Metropolitan Museum of Art.","March 23, 2025",Metropolitan Museum of Art,Jackson Hall,Debate Tournament,Spaces,Search,"(*, *, *, *)"
110,110,What is the main focus of the lesson being taught by Jamal Berlin?,Peer learning,"Jamal Berlin, tall with a crown of moss and eyes that glinted silver, guided the gathering. “Today we learn not from teacher, but from each other,” they intoned,","July 13, 2024",High Line,Samuel Parker,Educational Workshop,Event contents,Search,"(*, *, *, *)"
111,111,What is the name of the obstacle course?,Bethpage Black Course,"He knew the eyes of some were on him—not for leadership, but because he was the one who’d mapped out the obstacle course, the one who’d designed each daunting feature. itself loomed in the distance—a sprawling expanse of concrete, grassy outcroppings, and shadowed woodland that seemed to watch the runners as much as the runners watched it. The course twisted through a copse of trees, the echoes of distant cheers and the scrape of sneakers the only sounds. Bethpage Black Course.","February 27, 2026",Bethpage Black Course,Levi Rodriguez,Parkour Workshop,Spaces,Search,"(*, *, *, *)"
112,112,"Who walked the runway on December 26, 2026?",Julian Ross,"Tonight, the world had narrowed to the echo of his own footsteps, the shimmer of fabrics, and the silent question shadowing the room: what awaited him beyond the last rung of the ladder? December 26, 2026. Julian Ross. Walked the runway.","December 26, 2026",Trinity Church,Julian Ross,Fashion Show,Entities,Search,"(t, *, *, *)"
113,113,What was the date of the event?,"June 08, 2026","June 08, 2026.","June 08, 2026",Trinity Church,Carter Stewart,Tech Hackathon,Times,Search,"(*, *, *, *)"
114,114,What was the date of the karaoke event?,"June 14, 2025","June 14, 2025.","June 14, 2025",Snug Harbor Cultural Center,Jackson Ramos,Karaoke Night,Times,Search,"(*, *, *, *)"
115,115,What fabric was being showcased in the fashion show?,a new blend of indigo and gold,"The fabric—some new blend of indigo and gold—rippled under the spotlight, catching patterns unseen in any catalog.","October 30, 2026",Washington Square Park,Mila Gonzalez,Fashion Show,Event contents,Search,"(*, *, *, c)"
116,116,What is the name of the museum where Brooklyn is demonstrating anti-drone technology?,Guggenheim Museum,Guggenheim Museum. Presented anti-drone technology demonstrations.,"May 28, 2025",Guggenheim Museum,Brooklyn Ross,Drone Racing Event,Spaces,Search,"(*, *, *, *)"
117,117,What date was sustainability in fashion discussed?,"May 31, 2024","The stained-glass light fractured. May 31, 2024.","May 31, 2024",Trinity Church,Levi Rodriguez,Fashion Show,Times,Search,"(*, *, *, *)"
118,118,What date was the data visualization created?,"March 23, 2025","Created data visualizations. March 23, 2025.","March 23, 2025",Yankee Stadium,Levi Cruz,Tech Hackathon,Times,Search,"(*, *, *, *)"
119,119,What 18th-century naval battle is famous for a ship lost to a storm?,"The Monsoon Disaster, 1794",“Which 18th-century naval battle is famous for a ship lost to a storm?”,"March 23, 2025",Bethpage Black Course,Bella Brown,Historical Reenactment,Event contents,Search,"(*, *, *, *)"
120,120,What year was the performance of Ezra Edwards?,2026,"February 27, 2026.","February 27, 2026",Port Jefferson,Ezra Edwards,Fire Dancing Performance,Times,Search,"(*, *, ent, *)"
